,id,name,album,artist,genres,related_artists,related_genres,release_date,duration_ms,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,4sQdW03IQh3tsZeBELdt5G,Foxey Lady,Are You Experienced,Jimi Hendrix,classic rock/acid rock/album rock/psychedelic rock/proto-metal/rock/hard rock,Rory Gallagher/Jefferson Airplane/The Doors/Traffic/Janis Joplin/The Animals/Jim Morrison/Free/The Yardbirds/Allman Brothers Band/Albert King/Big Brother & The Holding Company/Freddie King/Stevie Ray Vaughan/Ten Years After/Derek & The Dominos/Cream/Canned Heat/John Mayall & The Bluesbreakers/Steppenwolf,progressive rock/folk/country rock/mellow gold/singer-songwriter/british invasion/texas blues/roots rock/classic canadian rock/jam band/protopunk/traditional blues/heartland rock/art rock/soul blues/folk rock/british blues/symphonic rock/supergroup/soft rock/electric blues/blues rock/memphis soul/blues/instrumental rock/southern rock,1967-05-12,199186,46,0.0612,0.507,0.851,0.157,4,0.371,-5.995,1,0.0386,98.061,4,0.587
1,6DRtSttaJsE8fstgTRll3p,Manic Depression,Are You Experienced,Jimi Hendrix,classic rock/acid rock/album rock/psychedelic rock/proto-metal/rock/hard rock,Rory Gallagher/Jefferson Airplane/The Doors/Traffic/Janis Joplin/The Animals/Jim Morrison/Free/The Yardbirds/Allman Brothers Band/Albert King/Big Brother & The Holding Company/Freddie King/Stevie Ray Vaughan/Ten Years After/Derek & The Dominos/Cream/Canned Heat/John Mayall & The Bluesbreakers/Steppenwolf,progressive rock/folk/country rock/mellow gold/singer-songwriter/british invasion/texas blues/roots rock/classic canadian rock/jam band/protopunk/traditional blues/heartland rock/art rock/soul blues/folk rock/british blues/symphonic rock/supergroup/soft rock/electric blues/blues rock/memphis soul/blues/instrumental rock/southern rock,1967-05-12,222226,40,0.0132,0.351,0.969,0.0619,1,0.151,-4.924,1,0.129,149.687,3,0.747
2,7bbf6izisrvlYdFVGeV8q9,Red House,Are You Experienced,Jimi Hendrix,classic rock/acid rock/album rock/psychedelic rock/proto-metal/rock/hard rock,Rory Gallagher/Jefferson Airplane/The Doors/Traffic/Janis Joplin/The Animals/Jim Morrison/Free/The Yardbirds/Allman Brothers Band/Albert King/Big Brother & The Holding Company/Freddie King/Stevie Ray Vaughan/Ten Years After/Derek & The Dominos/Cream/Canned Heat/John Mayall & The Bluesbreakers/Steppenwolf,progressive rock/folk/country rock/mellow gold/singer-songwriter/british invasion/texas blues/roots rock/classic canadian rock/jam band/protopunk/traditional blues/heartland rock/art rock/soul blues/folk rock/british blues/symphonic rock/supergroup/soft rock/electric blues/blues rock/memphis soul/blues/instrumental rock/southern rock,1967-05-12,224453,43,0.587,0.36,0.532,0.0777,11,0.185,-5.993,1,0.143,198.958,3,0.43
3,2RUGdg80MApSer2rx7JrZr,Can You See Me,Are You Experienced,Jimi Hendrix,classic rock/acid rock/album rock/psychedelic rock/proto-metal/rock/hard rock,Rory Gallagher/Jefferson Airplane/The Doors/Traffic/Janis Joplin/The Animals/Jim Morrison/Free/The Yardbirds/Allman Brothers Band/Albert King/Big Brother & The Holding Company/Freddie King/Stevie Ray Vaughan/Ten Years After/Derek & The Dominos/Cream/Canned Heat/John Mayall & The Bluesbreakers/Steppenwolf,progressive rock/folk/country rock/mellow gold/singer-songwriter/british invasion/texas blues/roots rock/classic canadian rock/jam band/protopunk/traditional blues/heartland rock/art rock/soul blues/folk rock/british blues/symphonic rock/supergroup/soft rock/electric blues/blues rock/memphis soul/blues/instrumental rock/southern rock,1967-05-12,152826,36,0.219,0.571,0.816,0.136,6,0.357,-5.441,0,0.0461,134.277,4,0.921
4,1fbK6qvv0PghESZsg0Kasi,Love Or Confusion,Are You Experienced,Jimi Hendrix,classic rock/acid rock/album rock/psychedelic rock/proto-metal/rock/hard rock,Rory Gallagher/Jefferson Airplane/The Doors/Traffic/Janis Joplin/The Animals/Jim Morrison/Free/The Yardbirds/Allman Brothers Band/Albert King/Big Brother & The Holding Company/Freddie King/Stevie Ray Vaughan/Ten Years After/Derek & The Dominos/Cream/Canned Heat/John Mayall & The Bluesbreakers/Steppenwolf,progressive rock/folk/country rock/mellow gold/singer-songwriter/british invasion/texas blues/roots rock/classic canadian rock/jam band/protopunk/traditional blues/heartland rock/art rock/soul blues/folk rock/british blues/symphonic rock/supergroup/soft rock/electric blues/blues rock/memphis soul/blues/instrumental rock/southern rock,1967-05-12,193293,35,0.0133,0.266,0.884,0.913,7,0.0846,-4.03,1,0.0648,110.468,4,0.495
5,2z7kBHh4EQmY8OsD5JfxKk,I Don't Live Today,Are You Experienced,Jimi Hendrix,classic rock/acid rock/album rock/psychedelic rock/proto-metal/rock/hard rock,Rory Gallagher/Jefferson Airplane/The Doors/Traffic/Janis Joplin/The Animals/Jim Morrison/Free/The Yardbirds/Allman Brothers Band/Albert King/Big Brother & The Holding Company/Freddie King/Stevie Ray Vaughan/Ten Years After/Derek & The Dominos/Cream/Canned Heat/John Mayall & The Bluesbreakers/Steppenwolf,progressive rock/folk/country rock/mellow gold/singer-songwriter/british invasion/texas blues/roots rock/classic canadian rock/jam band/protopunk/traditional blues/heartland rock/art rock/soul blues/folk rock/british blues/symphonic rock/supergroup/soft rock/electric blues/blues rock/memphis soul/blues/instrumental rock/southern rock,1967-05-12,235040,34,0.00464,0.347,0.919,0.902,9,0.0699,-4.791,1,0.119,111.554,4,0.426
6,7jDhN4HgZjrirHMo3fofn3,May This Be Love,Are You Experienced,Jimi Hendrix,classic rock/acid rock/album rock/psychedelic rock/proto-metal/rock/hard rock,Rory Gallagher/Jefferson Airplane/The Doors/Traffic/Janis Joplin/The Animals/Jim Morrison/Free/The Yardbirds/Allman Brothers Band/Albert King/Big Brother & The Holding Company/Freddie King/Stevie Ray Vaughan/Ten Years After/Derek & The Dominos/Cream/Canned Heat/John Mayall & The Bluesbreakers/Steppenwolf,progressive rock/folk/country rock/mellow gold/singer-songwriter/british invasion/texas blues/roots rock/classic canadian rock/jam band/protopunk/traditional blues/heartland rock/art rock/soul blues/folk rock/british blues/symphonic rock/supergroup/soft rock/electric blues/blues rock/memphis soul/blues/instrumental rock/southern rock,1967-05-12,191133,36,0.207,0.517,0.609,0.148,8,0.105,-9.309,1,0.0682,95.38,4,0.482
7,72wtjcPwWVpP4PVcNcl30v,Fire,Are You Experienced,Jimi Hendrix,classic rock/acid rock/album rock/psychedelic rock/proto-metal/rock/hard rock,Rory Gallagher/Jefferson Airplane/The Doors/Traffic/Janis Joplin/The Animals/Jim Morrison/Free/The Yardbirds/Allman Brothers Band/Albert King/Big Brother & The Holding Company/Freddie King/Stevie Ray Vaughan/Ten Years After/Derek & The Dominos/Cream/Canned Heat/John Mayall & The Bluesbreakers/Steppenwolf,progressive rock/folk/country rock/mellow gold/singer-songwriter/british invasion/texas blues/roots rock/classic canadian rock/jam band/protopunk/traditional blues/heartland rock/art rock/soul blues/folk rock/british blues/symphonic rock/supergroup/soft rock/electric blues/blues rock/memphis soul/blues/instrumental rock/southern rock,1967-05-12,165106,41,0.00156,0.486,0.944,0.0213,9,0.319,-5.119,1,0.122,153.462,4,0.577
8,73ZOw1zRRlEbEdGPgBjA01,Third Stone From The Sun,Are You Experienced,Jimi Hendrix,classic rock/acid rock/album rock/psychedelic rock/proto-metal/rock/hard rock,Rory Gallagher/Jefferson Airplane/The Doors/Traffic/Janis Joplin/The Animals/Jim Morrison/Free/The Yardbirds/Allman Brothers Band/Albert King/Big Brother & The Holding Company/Freddie King/Stevie Ray Vaughan/Ten Years After/Derek & The Dominos/Cream/Canned Heat/John Mayall & The Bluesbreakers/Steppenwolf,progressive rock/folk/country rock/mellow gold/singer-songwriter/british invasion/texas blues/roots rock/classic canadian rock/jam band/protopunk/traditional blues/heartland rock/art rock/soul blues/folk rock/british blues/symphonic rock/supergroup/soft rock/electric blues/blues rock/memphis soul/blues/instrumental rock/southern rock,1967-05-12,404160,36,0.0229,0.218,0.763,0.771,2,0.274,-8.07,1,0.0571,84.087,3,0.422
9,3nCkf5CB7Xjy6VrfJQnUvB,Remember,Are You Experienced,Jimi Hendrix,classic rock/acid rock/album rock/psychedelic rock/proto-metal/rock/hard rock,Rory Gallagher/Jefferson Airplane/The Doors/Traffic/Janis Joplin/The Animals/Jim Morrison/Free/The Yardbirds/Allman Brothers Band/Albert King/Big Brother & The Holding Company/Freddie King/Stevie Ray Vaughan/Ten Years After/Derek & The Dominos/Cream/Canned Heat/John Mayall & The Bluesbreakers/Steppenwolf,progressive rock/folk/country rock/mellow gold/singer-songwriter/british invasion/texas blues/roots rock/classic canadian rock/jam band/protopunk/traditional blues/heartland rock/art rock/soul blues/folk rock/british blues/symphonic rock/supergroup/soft rock/electric blues/blues rock/memphis soul/blues/instrumental rock/southern rock,1967-05-12,168640,33,0.04,0.735,0.771,0.0254,1,0.154,-5.523,1,0.0424,99.145,4,0.754
